"","NGO","StartDate","EndDate","USD","Title","Details","Report","Fund","Continent","Country","SpeciesClass","isCWA","phase","More","euroContribution","euroTotal","URL","ID","Ref","Pounds","CentralWestAfrica"
"589",NA,"2006-08-01 - 2009-09-30",NA,NA,NA,"Strengthening Scientific Capacity of Conservation NGOs working with the CBD Birdlife International",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/15030/","60","15030","136,950.00",FALSE
"590",NA,"2006-11-01 - 2009-10-31",NA,NA,NA,"Novel and Practical Conservation Strategies Following Mining in Sierra Leone CEH - Centre for Ecology and Hydrology, Edinburgh",NA,NA,NA,NA,NA,"TRUE",NA,"


Novel and Practical Conservation Strategies Following Mining in Sierra Leone
Ref:  15031Type:  Main ProjectProject Leader:  Dr Jan  DickLead Institution:  CEH - Centre for Ecology and Hydrology, EdinburghHost Country Institutions:  Environmental Foundation of Africa, Fourah Bay College, Sierra Rutile Ltd, Conservation International FoundationStart Date:  2006-11-01End Date:  2009-10-31Funding:  &pound164,408.00Website:  http://wiki.ceh.ac.uk/login.action?os_destinationStatus:  CompletedRegions:  Sub-Saharan AfricaCountries:  Sierra LeonePurpose:  To develop methods for practical reclamation and conservation for mining enterprises in developing countries that both conserve biodiversity and enhance community livelihoods, using a mining enterprise in Sierra Leone as a case studyOutputs:  Model for decentralised business initiatives (planting stock production and composting) developed 
Demonstration reclamation plots established using different setup methods
Best local purpose method for establishing demonstration plots determined through testing
Cheap, effective method for monitoring ecosystem payments established
Most appropriate form of ecosystem payment for local case study determined
Relationships between stakeholders improved and partnerships built for future interactionsRelated Projects:  Selection, propagaion, multiplication and distribution of indigenous tree speciesDocuments:  Application Form, Half Year Report, Half Year Report, Annual Report, Metting Report, Metting Report, Metting Report, Annual Report, Annual Report, Final Report",NA,NA,"http://www.darwininitiative.org.uk/project/15031/","61","15031","164,408.00",TRUE
"591",NA,"2006-07-01 - 2010-06-30",NA,NA,NA,"Red List Plans of Cameroon RBG Kew - Herbarium",NA,NA,NA,NA,NA,"TRUE",NA,"


Red List Plans of Cameroon
Ref:  15034Type:  Main ProjectProject Leader:  Dr Martin  CheekLead Institution:  RBG Kew - HerbariumHost Country Institutions:  National Herbarium of Cameroon, Living Earth Foundation, Apiculture & Nature Conservation, Conservation & Research on Endangered Species, Environmental & Rural Development ProgrammeStart Date:  2006-07-01End Date:  2010-06-30Funding:  &pound142,225.00Website:  Status:  CompletedRegions:  Sub-Saharan AfricaCountries:  CameroonPurpose:  To provide a sound basis for the conservation of the threatened plants of Cameroon, making this information available for national planning of sustainable development and for national education in secondary schools.Outputs:  Candidate list of threatened plant taxa distributed.
Conservation checklists of three or more poorly known but probably conservation-important areas.
Distribution maps of Red List species.
Red data book of the threatened plant species of Cameroon.
Teaching packs on threatened plants of Cameroon.
10 trained staff in taxon conserve. assessment techniques.Related Projects:  Conservation of Plant Diversity in Western CameroonDocuments:  Annual Report, Application Form, Half Year Report, Half Year Report, Annual Report, Half Year Report, Annual Report, Log Frame, Half Year Report, Final Report",NA,NA,"http://www.darwininitiative.org.uk/project/15034/","62","15034","142,225.00",TRUE
"592",NA,"2006-07-01 - 2009-06-30",NA,NA,NA,"Ex-situ Conservation of the Rare and Threatened Plants of Mauritius RBG Kew - Millennium Seed Bank",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/15035/","63","15035","60,029.00",FALSE
"593",NA,"2006-07-01 - 2009-06-30",NA,NA,NA,"Monitoring and Managing Biodiversity Loss in South-East Africa's Montane Ecosystems RBG Kew - Millennium Seed Bank",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/15036/","64","15036","196,632.00",FALSE
"594",NA,"2006-06-01 - 2009-05-31",NA,NA,NA,"Restoring Island Biodiversity: the Reintroduction of  Endemic Mauritian Reptile Communities DWCT - Durrell Wildlife Conservation Trust",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/15038/","65","15038","181,995.00",FALSE
"595",NA,"2006-10-01 - 2009-09-30",NA,NA,NA,"Building Capacity to Alleviate Human-Elephant Conflict in North Kenya University of Cambridge",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/15040/","66","15040","260,909.00",FALSE
"596",NA,"2007-09-01 - 2011-03-31",NA,NA,NA,"Tools, training and research for managing eco-hydrology of Cape flora Open University",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/16003/","67","16003","325,540.00",FALSE
"597",NA,"2007-10-01 - 2010-10-31",NA,NA,NA,"Local action for global impact - community-based biodiversity conservation films University of Leicester - Biology",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/16006/","68","16006","245,773.00",FALSE
"598",NA,"2007-05-01 - 2010-04-30",NA,NA,NA,"Conservation of Microfungi: a voice for unprotected and vulnerable organisms BioNET International (Egham)",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/16008/","69","16008","289,860.00",FALSE
"599",NA,"2007-04-01 - 2011-03-31",NA,NA,NA,"Wildlife Wood Project ZSL - Zoological Society of London",NA,NA,NA,NA,NA,"TRUE",NA,"


Wildlife Wood Project
Ref:  16010Type:  Main ProjectProject Leader:  Dr Noelle  KumpelLead Institution:  ZSL - Zoological Society of LondonHost Country Institutions:  JCM-LLL, University of Ghana, Min of Forests and Wildlife (MINFOF), Forestry Commission - Ghana, WWF - CamerounStart Date:  2007-04-01End Date:  2011-03-31Funding:  &pound265,406.00Website:  http://www.zsl.org/conservation/regions/africa/wildlife-wood-project/Status:  CompletedRegions:  Sub-Saharan AfricaCountries:  Cameroon, GhanaPurpose:  To reduce unsustainable hunting and trapping of wildlife (bushmeat) in timber production forests of West and Central Africa, by identifying wildlife indicators for use in forest certification and national forest regulations, and by developing wildlife management systems with timber companies and local communities.Outputs:  1. Wildlife indicators identified in 2 rainforest regions (west and central Africa), which can be used to verify timber certification systems
2. Species composition, patterns and nature of bushmeat use in timber concessions documented. 
3. Wildlife management plans developed in 2 case study forests (1 per country), to develop best practice with timber companies.
4. Cost-effective and scientifically rigorous wildlife monitoring system established, and impact of forest management plans assessed.
5. Capacity building through training timber company guards & government rangers, and through MSc studentships.
6. Knowledge and awareness of timber certification and wildlife management increased among government, private sector, research and local communities, and timber consumers.Related Projects:  Ecosystem-wide forest conservation in DRC using okapi as a flagshipDocuments:  Application Form, Half Year Report, Half Year Report, Annual Report, Annual Report, Article, Half Year Report",NA,NA,"http://www.darwininitiative.org.uk/project/16010/","70","16010","265,406.00",TRUE
"600",NA,"2009-10-01 - 2012-03-31",NA,NA,NA,"Darwin Marine Biodiversity Action Plan for Gabon University of Exeter- CEC",NA,NA,NA,NA,NA,"TRUE",NA,"


Darwin Marine Biodiversity Action Plan for Gabon
Ref:  17005Type:  Main ProjectProject Leader:  Professor Brendan  GodleyLead Institution:  University of Exeter- CECHost Country Institutions:  Ministère de l'Agriculture, de l'Elevage de la Peche et du Developpement Rural, Agence National des Parcs Nationaux - ANPN, Partenariat pour les Tortues Marine du Gabon - PTMG, WCS - GabonStart Date:  2009-10-01End Date:  2012-03-31Funding:  &pound299,741.00Website:  http://www.seaturtle.org/mtrg/projects/gabon/outputs.shtmlStatus:  CompletedRegions:  sub-Saharan AfricaCountries:  GabonPurpose:  Improved national and local capabilities applied to the sustainable and equitable management of marine biodiversity of Gabon.Outputs:  Related Projects:  Darwin Biodiversity Action Plan for Anegada, British Virgin Islands, In Ivan's Wake: Darwin Initiative BAP for the Cayman Islands, Darwin Sustainable Artisanal Fisheries Initiative (Peru), Delivering an MPA network for fisheries and biodiversity of Central Africa (Republic of Congo and Gabon)Documents:  Application Form, Half Year Report, Annual Report, Half Year Report",NA,NA,"http://www.darwininitiative.org.uk/project/17005/","71","17005","299,741.00",TRUE
"601",NA,"2009-05-01 - 2012-05-31",NA,NA,NA,"Bushmeat hunting in Madagascar: linking science, policy and local livelihoods University of Wales, Bangor",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/17006/","72","17006","299,475.00",FALSE
"602",NA,"2009-04-01 - 2013-04-30",NA,NA,NA,"Building natural resource monitoring capacity in Ethiopia's key Afro-montane ecosystems JHI - The James Hutton Institute",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/17007/","73","17007","290,769.00",FALSE
"603",NA,"2009-05-01 - 2012-04-30",NA,NA,NA,"Chameleon trade and conservation in Madagascar University of Kent - Anthropology (not DICE)",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/17010/","74","17010","249,225.00",FALSE
"604",NA,"2009-04-01 - 2012-12-31",NA,NA,NA,"A participatory conservation programme for the Comoro Islands Bristol Conservation &amp; Science Foundation",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/17011/","75","17011","238,805.00",FALSE
"605",NA,"2009-04-01 - 2012-03-31",NA,NA,NA,"Developing Cross-sectoral Environmental Governance Platform for Mount Nimba FFI - Fauna and Flora International",NA,NA,NA,NA,NA,"TRUE",NA,"


Developing Cross-sectoral Environmental Governance Platform for Mount Nimba
Ref:  17014Type:  Main ProjectProject Leader:   Pippa  HowardLead Institution:  FFI - Fauna and Flora InternationalHost Country Institutions:  Society for the Conservation of Nature in Liberia - SCNL, Environmental Protection Agency, Forestry Development Authority (FDA) - Liberia, Arcelor Mittal, Aide Universelle pour le Developpement de la Nouvelle Generation - AUDNG, Union des Volontaires pour le Developpement Integre de Zontomppiezo - UVODIZ, CEGENS - Gov of Guinea, CI - Liberia, Conservation International Foundation, National Environmental AgencyStart Date:  2009-04-01End Date:  2012-03-31Funding:  &pound248,727.00Website:  http://www.nimbadarwin.orgStatus:  CompletedRegions:  Sub-Saharan AfricaCountries:  Cote d'Ivoire, Guinea, LiberiaPurpose:  To improve the collaboration between stakeholders across three sectors and three national boundaries to reduce threats to biodiversity from large-scale, multinational mining operations and support sustainable livelihood projects in the Nimba Mountains.Outputs:  Documents:  Application Form, Half Year Report, Half Year Report, Annual Report, Annual Report, Half Year Report",NA,NA,"http://www.darwininitiative.org.uk/project/17014/","76","17014","248,727.00",TRUE
"606",NA,"2009-04-01 - 2012-03-31",NA,NA,NA,"Conservation and Sustainable Management of Kenyas Marine and Coastal Resources FFI - Fauna and Flora International, FFI - Fauna and Flora International",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/17016/","77","17016","215,142.00",FALSE
"607",NA,"2009-09-01 - 2012-09-30",NA,NA,NA,"Enhancing the Elephant Trade Information System to guide CITES policy University of Reading",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/17020/","78","17020","239,399.00",FALSE
"608",NA,"2009-07-01 - 2012-06-30",NA,NA,NA,"Conserving the Ruipa Corridor: facilitating cohesive management between diverse stakeholders. SEE - Society for Environmental Exploration/Frontier",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/17028/","79","17028","128,735.00",FALSE
"609",NA,"2009-12-01 - 2012-11-30",NA,NA,NA,"Ecological sustainability of leopard trophy hunting in Zimbabwe University of Oxford, WildCRU",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/17031/","80","17031","214,886.00",FALSE
"610",NA,"2010-04-01 - 2014-03-31",NA,NA,NA,"Saving the Madagascar Pochard: the worlds most endangered duck DWCT - Durrell Wildlife Conservation Trust",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/18009/","81","18009","282,441.00",FALSE
"611",NA,"2010-04-01 - 2013-03-31",NA,NA,NA,"Paying local communities for ecosystem services: The Chimpanzee Conservation Corridor IIED",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/18012/","82","18012","199,848.00",FALSE
"612",NA,"2010-04-01 - 2013-12-31",NA,NA,NA,"Ecosystem-wide forest conservation in DRC using okapi as a flagship ZSL - Zoological Society of London",NA,NA,NA,NA,NA,"TRUE",NA,"


Ecosystem-wide forest conservation in DRC using okapi as a flagship
Ref:  18014Type:  Main ProjectProject Leader:  Dr Noelle  KumpelLead Institution:  ZSL - Zoological Society of LondonHost Country Institutions:  Institut Congolais pour la Conservation de la Nature (ICCN), Gilman International Conservation (GIC) / White Oak Conservation Center, WCS - Wildlife Conservation Society, Lukuru Foundation (Lukuru Project / TL2 Project)Start Date:  2010-04-01End Date:  2013-12-31Funding:  &pound299,028.00Website:  http://www.zsl.org/okapiStatus:  CurrentRegions:  Sub-Saharan AfricaCountries:  Congo, Dem. Rep.Purpose:  Forest biodiversity across okapi range conserved with equitable benefits to local communities, through building capacity of park authorities to manage protected areas and the development of sustainable livelihoods which value forest ecosystem services alongside communities outside protected areasOutputs:  Related Projects:  Wildlife Wood ProjectDocuments:  Application Form, Half Year Report, Annual Report, Half Year Report",NA,NA,"http://www.darwininitiative.org.uk/project/18014/","83","18014","299,028.00",TRUE
"613",NA,"2012-10-01 - 2015-09-30",NA,NA,NA,"A cutting-EDGE approach to saving Seychelles' evolutionarily distinct biodiversity DICE - Durrell Institute of Conservation &amp; Ecology",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/19002/","84","19002","256,085.00",FALSE
"614",NA,"2012-04-01 - 2015-03-31",NA,NA,NA,"Building capacity of the next generation of Liberian conservation professionals FFI - Fauna and Flora International",NA,NA,NA,NA,NA,"TRUE",NA,"


Building capacity of the next generation of Liberian conservation professionals
Ref:  19004Type:  Main ProjectProject Leader:   Kathryn  ShuttLead Institution:  FFI - Fauna and Flora InternationalHost Country Institutions:  University of Liberia, Forestry Development Authority (FDA) - LiberiaStart Date:  2012-04-01End Date:  2015-03-31Funding:  &pound299,122.00Website:  http://www.liberianfaunaflora.orgStatus:  CurrentRegions:  Sub-Saharan AfricaCountries:  LiberiaPurpose:  To build capacity in participatory conservation and applied research to international standards in the next generation of Liberia’s natural resource managers through enhanced university education, practical field experience and mentoring from international researchers, whilst simultaneously generating baseline information on Liberia’s biodiversity.Outputs:  Outputs 
1.  Curriculums of Liberia’s premier teaching institution updated with conservation-focused teaching modules, in line with international standards. Topics to include  introduction to conservation biology, rights-based governance approaches, sustainable livelihoods and climate change
2.  Capacity of Liberian students and FDA employees in field research methods and conservation issues increased through residential courses at SNP hosted by CEERCL 
3.  Improved knowledge of the biodiversity of Southeast Liberia through increased collaborative research and continuation of SNP bio-monitoring programme.   
4.  Research findings disseminated through local and national media, scientific publications, a dedicated webpage and reports.",NA,NA,"http://www.darwininitiative.org.uk/project/19004/","85","19004","299,122.00",TRUE
"615",NA,"2012-04-01 - 2015-03-31",NA,NA,NA,"The CUT plan for large carnivore management in Tanzania IoZ - Institute of Zoology",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/19006/","86","19006","299,090.00",FALSE
"616",NA,"2012-04-01 - 2015-03-31",NA,NA,NA,"Developing long-term stakeholder capacity for elephant conservation in Mali Wilderness Foundation UK",NA,NA,NA,NA,NA,"TRUE",NA,"


Developing long-term stakeholder capacity for elephant conservation in Mali
Ref:  19010Type:  Main ProjectProject Leader:  Dr Susan  CanneyLead Institution:  Wilderness Foundation UKHost Country Institutions:  DNEF - National Directorate for Water and ForestsStart Date:  2012-04-01End Date:  2015-03-31Funding:  &pound240,600.00Website:  Status:  CurrentRegions:  Sub-Saharan AfricaCountries:  MaliPurpose:  Communities manage human-elephant coexistence and elephants become an integral part of natural resource management (NRM) and support local livelihoods in the Gourma through the generation of long-term capacity at all levels of decision-makingOutputs:  Outputs (add or delete rows as necessary)
1.  A model is developed and implemented for the protection of the elephant range in pastoral areas that cover 60% of the elephant range.
•	The integration of the 3 adjacent Karwassa communities into the Banzena process 
•	Extension of model to remaining pastoral communities 
2.  A costed and phased participatory plan for the resolution of human-elephant conflict, whose implementation will serve as a model for the management of conflict in the agro-pastoral and agricultural communities found over 40% of the range.
3.  The establishment of an inter-communal convention covering the whole elephant range.
4.  Sustainable NRM (output 1) is supported by the establishment of community ecosystem protection initiatives such sylvo-pastoral or forest protection zones that increase resources.",NA,NA,"http://www.darwininitiative.org.uk/project/19010/","87","19010","240,600.00",TRUE
"617",NA,"2012-04-01 - 2015-03-31",NA,NA,NA,"Research to policy - building capacity for conservation through poverty alleviation IIED",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/19013/","88","19013","260,652.00",FALSE
"618",NA,"2012-04-01 - 2015-03-31",NA,NA,NA,"Implementing CITES in Madagascar University of Kent - Anthropology (not DICE)",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/19014/","89","19014","254,788.00",FALSE
"619",NA,"2012-07-01 - 2015-06-30",NA,NA,NA,"Leveraging markets to conserve mangrove biodiversity and alleviate poverty in Madagascar Blue Ventures",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/19016/","90","19016","226,839.00",FALSE
"620",NA,"2012-04-01 - 2015-03-31",NA,NA,NA,"Integrating Batwa cultural values into national parks management in Uganda FFI - Fauna and Flora International",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/19019/","91","19019","289,779.00",FALSE
"621",NA,"2012-04-01 - 2015-03-31",NA,NA,NA,"Ecosystem conservation for climate change adaptation in East Africa Birdlife International",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/19022/","92","19022","287,759.00",FALSE
"622",NA,"2012-02-01 - 2015-03-31",NA,NA,NA,"NBSAPs: mainstreaming biodiversity and development IIED",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/19023/","93","19023","266,929.00",FALSE
"623",NA,"2012-04-01 - 2015-03-31",NA,NA,NA,"Conservation of Ethiopia's wild coffee using participatory forest management University of Huddersfield - AS",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/19025/","94","19025","246,507.00",FALSE
"624",NA,"2013-04-01 - 2016-03-31",NA,NA,NA,"Developing a pro-poor, sustainable bushmeat harvesting model in Cameroon Bristol Conservation &amp; Science Foundation",NA,NA,NA,NA,NA,"TRUE",NA,"


Developing a pro-poor, sustainable bushmeat harvesting model in Cameroon
Ref:  20007Type:  Main ProjectProject Leader:   Neil  MaddisonLead Institution:  Bristol Conservation & Science FoundationHost Country Institutions:  Living Earth CameroonStart Date:  2013-04-01End Date:  2016-03-31Funding:  &pound228,658.00Website:  Status:  CurrentRegions:  Sub-Saharan AfricaCountries:  CameroonPurpose:  The identification, implementation and evaluation of key factors necessary to establish a pro-poor sustainable wildlife-harvesting model in southeastern Cameroon.  The aim is to reduce multi-dimensional poverty amongst poor communities living in and around the Dja Biosphere Reserve (DBR) by enabling them to earn an income legally, and contribute to long-term food security whilst reducing the unregulated take of wildlife in the region.  Lessons learned from the evaluation of project processes will feed into the development of an updated DBR Management Plan and will provide data to support the integration of planning for sustainable wildlife management into national development policy.Outputs:  Related Projects:  A participatory conservation programme for the Comoro Islands",NA,NA,"http://www.darwininitiative.org.uk/project/20007/","95","20007","228,658.00",TRUE
"625",NA,"2013-04-01 - 2015-10-31",NA,NA,NA,"Delivering an MPA network for fisheries and biodiversity of Central Africa (Republic of Congo and Gabon) University of Exeter- CEC",NA,NA,NA,NA,NA,"TRUE",NA,"


Delivering an MPA network for fisheries and biodiversity of Central Africa (Republic of Congo and Gabon)
Ref:  20009Type:  Main ProjectProject Leader:  Professor Brendan  GodleyLead Institution:  University of Exeter- CECHost Country Institutions:  Min of Forest Economy and Sustainable Development - RoC, Agence National des Parcs Nationaux - ANPN, Partenariat pour les Tortues Marine du Gabon - PTMG, WCS - GabonStart Date:  2013-04-01End Date:  2015-10-31Funding:  &pound294,226.00Website:  http://www.seaturtle.org/mtrg/projects/gabon/  AND http://www.seaturtle.org/tracking/?project_id=924Status:  CurrentRegions:  Sub-Saharan AfricaCountries:  Congo, Dem. Rep., GabonPurpose:  Integrated management of marine ecosystems in Central Africa (Congo and Gabon) as a result of a network of interconnected and effectively managed Marine Protected Areas (MPAs) that enhance ecological integrity while contributing to food security and poverty reduction in communities in the region.Outputs:  Related Projects:  Darwin Biodiversity Action Plan for Anegada, British Virgin Islands, In Ivan's Wake: Darwin Initiative BAP for the Cayman Islands, Darwin Marine Biodiversity Action Plan for Gabon, Darwin Sustainable Artisanal Fisheries Initiative (Peru)",NA,NA,"http://www.darwininitiative.org.uk/project/20009/","96","20009","294,226.00",TRUE
"626",NA,"2013-04-01 - 2016-03-31",NA,NA,NA,"Social Assessment of Protected Areas IIED",NA,NA,NA,NA,NA,"TRUE",NA,"


Social Assessment of Protected Areas
Ref:  20010Type:  Main ProjectProject Leader:   Dilys  RoeLead Institution:  IIEDHost Country Institutions:  WCS - Wildlife Conservation Society, African Wildlife FoundationStart Date:  2013-04-01End Date:  2016-03-31Funding:  &pound239,393.00Website:  Status:  CurrentRegions:  sub-Saharan AfricaCountries:  Gabon, Gambia, Kenya, Liberia, SenegalPurpose:  Protected area managers and policy-makers have access to guidance and tools for assessing the impact of biodiversity conservation actions on local people living in and around protected areas, enabling them, through better engagement, to make informed decisions to minimise negative social and economic effects and maximize positive impacts for local communities. Benefits would be seen at the local level (in particular for the poor and for traditionally marginalised groups, including women) both through empowerment — as they engage with social assessment and articulate their priorities — and through subsequent improved management which takes those priorities into account.Outputs:  Related Projects:  Research to policy - building capacity for conservation through poverty alleviation",NA,NA,"http://www.darwininitiative.org.uk/project/20010/","97","20010","239,393.00",TRUE
"627",NA,"2013-04-01 - 2016-03-31",NA,NA,NA,"Community-based conservation and livelihoods development within Kenyas Boni-Dodori forest ecosystem WWF - Kenya",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/20011/","98","20011","297,500.00",FALSE
"628",NA,"2013-04-01 - 2016-03-31",NA,NA,NA,"Improving anti-poaching patrol evaluation and design in African rainforests University of Oxford, WildCRU",NA,NA,NA,NA,NA,"TRUE",NA,"


Improving anti-poaching patrol evaluation and design in African rainforests
Ref:  20012Type:  Main ProjectProject Leader:  Professor David  MacdonaldLead Institution:  University of Oxford, WildCRUHost Country Institutions:  James Madison University, Cornell University - BRP, Programme for the Sustainable Management of Natural Resources - PSMNR-SWR, Min of Forests and Wildlife (MINFOF), Korup Rainforest Conservation Society - KRCS, WWF - CamerounStart Date:  2013-04-01End Date:  2016-03-31Funding:  &pound240,024.00Website:  Status:  CurrentRegions:  Sub-Saharan AfricaCountries:  CameroonPurpose:  Poaching in Central Africa imperils wildlife, is illegal and undermines the sustainability of local livelihoods while legitimising a corrupted attitude between people and protected areas. The project uses robust but innovative technology, centred on acoustic monitoring, to design, implement and evaluate anti-poaching strategies, leading to the development of a novel decision-support system to be rolled out across Central Africa. Developed first for Korup NP (Cameroon), this evidence-based anti-poaching protocol is intended to efficiently protect wildlife source populations within protected areas, while laying the foundation for sustainable forest uses, and thus increased food security, job opportunities, and — ultimately — poverty alleviationOutputs:  Related Projects:  Climate change and conservation of Galapagos endemic bird species, Endangered otter and invasive mink in Patagonia, Aquatic Carnivore in Eastern Europe, Planning and establishment of European mink island sanctuaries in Estonia and Belarus, Big cat conservation and sustainable management in Southern Africa, The role of tourism in the sustainable use of big cats., Implementing an otter action plan for marine environments of Tierra del Fuego, Patagonia.",NA,NA,"http://www.darwininitiative.org.uk/project/20012/","99","20012","240,024.00",TRUE
"629",NA,"2013-04-01 - 2016-03-31",NA,NA,NA,"Strengthening the capability of Kenyan communities to conserve coral reefs WCS - Wildlife Conservation Society",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/20017/","100","20017","181,533.00",FALSE
"630",NA,"2013-04-01 - 2016-03-31",NA,NA,NA,"Pesticide impacts on biodiversity in Ethiopia &amp; agro-ecological solutions Pesticide Action Network",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/20018/","101","20018","299,565.00",FALSE
"631",NA,"2013-04-01 - 2016-03-31",NA,NA,NA,"Wof Washa Forest: Sustainable Management for Resilient Livelihoods Tree Aid",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/20019/","102","20019","302,333.00",FALSE
"632",NA,"2013-04-01 - 2016-03-31",NA,NA,NA,"Madagascar Agroforestry Livelihoods Project RBG Kew - SC",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/20020/","103","20020","263,344.00",FALSE
"633",NA,"2013-07-01 - 2016-03-31",NA,NA,NA,"Enhancing habitat connectivity through sustainable development around the Gola Rainforest RSPB",NA,NA,NA,NA,NA,"TRUE",NA,"


Enhancing habitat connectivity through sustainable development around the Gola Rainforest
Ref:  20022Type:  Main ProjectProject Leader:   Nicolas  TubbsLead Institution:  RSPBHost Country Institutions:  Gola Rainforest National Park - GRNP, Welt Hunger Hilfe, Conservation Society of Sierra Leone, University of Cambridge, Forestry Division, Sierra Leone, Rainforest AllianceStart Date:  2013-07-01End Date:  2016-03-31Funding:  &pound271,076.00Website:  Status:  CurrentRegions:  Sub-Saharan AfricaCountries:  Sierra LeonePurpose:  The project will contribute to reducing poverty by supporting the re-emerging cocoa sector in 30 forest-edge communities. 70 households will increase incomes by 10% due to improved cocoa farming.
Human—wildlife conflict (HWC) research will inform a land management strategy to direct cocoa restoration to areas that minimise loss of wildlife and loss of cocoa due to conflicts.  
The National Cocoa Working Group will recognise the strategy and interest will be shown by other protected areas in-country.Outputs:  ",NA,NA,"http://www.darwininitiative.org.uk/project/20022/","104","20022","271,076.00",TRUE
"634",NA,"2013-04-01 - 2016-07-30",NA,NA,NA,"An integrated approach to enhancing socio-ecological resilience in coastal Mozambique ZSL - Zoological Society of London",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/20023/","105","20023","327,643.00",FALSE
"635",NA,"2014-04-01 - 2017-03-31",NA,NA,NA,"Protecting Ugandan endemic cycads from biodiversity loss and trafficking RBG Kew - SC",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/21003/","106","21003","192,676.00",FALSE
"636",NA,"2014-04-01 - 2017-03-31",NA,NA,NA,"Enhancement of well-being and conservation in Cape Verde's biodiversity hotspots FFI - Fauna and Flora International",NA,NA,NA,NA,NA,"TRUE",NA,"


Enhancement of well-being and conservation in Cape Verde's biodiversity hotspots
Ref:  21021Type:  Main ProjectProject Leader:   Sophie  BenbowLead Institution:  FFI - Fauna and Flora InternationalHost Country Institutions:  Start Date:  2014-04-01End Date:  2017-03-31Funding:  &pound0.00Website:  Status:  CurrentRegions:  Sub-Saharan AfricaCountries:  Cape VerdePurpose:  To improve state of marine biodiveristy, flow of ecosystem services and enhance wellbeing of eight coastal communities in Maio through diversification of livelihoods and participatory management of Marine Protected areas.Outputs:  Related Projects:  Underpinning the design and management of Cambodia's first Marine Protected Area (MPA), Conservation from ridges to reefs through sustainable development, Halmahera, Indonesia",NA,NA,"http://www.darwininitiative.org.uk/project/21021/","107","21021","0.00",TRUE
